,Cloud and Capacity,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,SAN Prereq: Foundations of Storage (SS0DG) ; Storage Area networking Fundamentals (SN71DG) ,Storage Concepts: Storing And Managing Digital Data,Storage administration (HQT-6740)  ITIL Foundation,Replication (HCE-3710) ,,Hitachi Enterprise (HCE-4130) ,Storage Virtualization (HCE-5730) Replication (HCE-5710)  ITIL SO (or IT4IT L1) ITIL CSI  ,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,Solaris ,,Basic shell with Bash,Account Management ( useradd / usermod on Solaris )  - Acl on Solaris using chmod - Diffrent between Solaris 10 and 11 - ZFS filesystem basic operations - Access servers via remote iLom / Alom - Process check ,Basic knowledge about Solaris LDM virtualization - Access virtual server from Logical Domain Controller - Knowledge about use Solaris Local zones - Knowledge about Solaris cluster resource migration / disable / enable - Process and services management,ZFS filesystem management - System update on Solaris 10/11 - Cluster Management - Pkg installation from local/remote repository - Oracle support cases - UFS Filesystem basic management - Bash scripting on Solaris - Disk operations - Hardware issue troubleshooting,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,HP,,,User management - LVM basic commands - file and dir management „acl ; chmod ; etc....“ - vxfs ; hfs – managment „extend  fs“ - MP ; ILO – remote connection ,Basic knowledge about virtualization „diffrences between vpar ; hpvm“ - Basic Cluster commands „serviceguard“ - Access virtual server from host ,Advanced knowledge about virtualization „vpar ; hpvm“ - Advanced Cluster commands „serviceguard“ - Advanced work with bash ; sh „scripts“ ,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,SUSE ,SuSe Manager,not applicable ,able to install package from configured repo,,,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,RedHat ,Satellite,not applicable ,able to install package from configured repo,register server to Satellite/RHN,server repository based troubleshooting ; RHN registration,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,Symantec,Veritas,not applicable ,not applicable ,,,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,Automation tool,not applicable ,- Login to BSA Console - Basic BSA property (Name ; OS ; OS version ; IP address ; Repeater Name) - open NSH console    ,RSCD agent (installation ;configuration ; troubleshooting - scope existing BSA documentation) - Import server into BSA console - full,BSA property (all  needed for our daily duty) - RSCD agent upgrade,development of BSA job/scripts,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,Monitoring ,not applicable ,login to Patrol Cental Operator/BPPM console/TS  - search server - inspect actual alarms,analyse alarms in Patrol/BPPM Consoles,server monitoring updates (exclusions) - from ticket analysis - to technical proposal of tunning,,,,,,,,,
Hardware ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,Backup ,not applicable ,basic overview - which backup methods TE uses ; how it logically works,install backup client using existing howto - ability to perform restore (business and technical process) ,troubleshoot backup client - implement backup exclusions ,analyse ; design ; implementation verification of customized backup solutions ,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,Storage ,not applicable ,basic overview - SAN disk,basic overview - SAN disk,troubleshooting/fixes Multipath failures - Implement SAN disk to server - Implement SAN disk extensions (busines and technical process),design clustered SAN based solutions - Implement clustered SAN based solutions - troubleshoot clustered SAN based solutions,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,SN/TONE (ticketing tool),not applicable ,login to Tone/Snow (RH) - Tone/Snow - basic usage: - - search and use Tone/Snow KBs (RH) - - search Tone/Snow Incidents ; Server CI records ; Network adapters ; KBs (RH),,complicated ticket analysis based on CI Name  or Ticket Description,design + implement customized reports,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Tieto TOOLS ,CMDB,not applicable ,search and understand servers Ci,perform CI updates,,,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Scripting ,Bash,not applicable ,basic command usage (cp ;rm ; du ;df ;top ;free),bash fullscope command line usage ; ,scripting to automate basic routines,development of BASH scripts (analysis ; pmelementation ;testing),,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Certification,Certification,not applicable ,RHSA (after two years - at worst),,RHCE (after two years),,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Virtualization,Vmware,not applicable ,login to Vcenter ; search server ; start stop restart server,add memory ; add CPU ; add disk,edit server properties and features,,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Virtualization,Hyper-V,not applicable ,login to Management console ; search server ; start stop restart server,add memory ; add CPU ; add disk,edit server properties and features,,,,,,,,,
Microsoft ,OS&DB,UNIX,Unix Technical Specialist,Other ,Other,,use our wikis - understand team goals - know+follow service rules (ticket priority) - use google - use Redhat/SuSE Documentation - use shiftmaster  ,overview  - how to find out documentation (technical ; process ; customer) ;  - queues we are daily cooperating with ..... - service scope - incident X request X change request,creates new technical processes - reviews/updates existing processes - create ; design ; implement ; resolve ; evaluate Change request,,,,,,,,,
Microsoft ,OS&DB,Databases,Database Technical Specialist,BMC,TrueSight,Basic orientation,,,,,,,,,,,,
Microsoft ,OS&DB,Databases,Database Technical Specialist,BMC,Patrol,Basic orientation,,,,,,,,,,,,
Microsoft ,OS&DB,Databases,Database Technical Specialist,,TeWatch,Basic orientation,,,,,,,,,,,,
UNIX ,OS&DB,Databases,Database Technical Specialist,Oracle,Oracle,DB start/stop/restart Create user Read/write rights,Transition to CS Decommission Automation + monitoring tickets Extra backup DB health check Standard changes Monitoring check Statspack report,Planned DB restore Export ; import DB Regular DB copy DB switchover Basic checks with OEM Statspack report interpretation,DB restore Migration Installation of DB Patching Upgrades ASM management DB backup configuration DB parameters modification DB failover Customer DDL management Auditing DB job scheduler Enterprise manager configuration,HA ; DR configuration Performance tuning Replication ; Golden Gate Oracle GW Installation of DB in RAC,,,,,,,,
UNIX ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,LTM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
UNIX ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,iRules,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable
UNIX ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,Viprion,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable
Microsoft ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,ASM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
Microsoft ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,APM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
Microsoft ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,AFM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
Microsoft ,Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,WAM,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable
IMPLEMENTATION,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing.Nexus,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing.ASR,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Switching,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Switching.Nexus,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Firewall.ASA,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Meraki,not applicable,basic,basic,intermediate,advanced,intermediate,advanced,advanced,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,VPN,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Routing,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Switching,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Firewall.SRX,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,VPN.IPsec,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,VPN.SSL,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CheckPoint,Firewall.GAIA,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,CheckPoint,Firewall.IPSO,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Fortinet,Firewall,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Fortinet,VPN,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Aruba,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Aruba,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,HP,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,HP,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Dell,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Services,DNS.bind,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Services,DHCP.Windows,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Services,DHCP.Unix,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Services,DHCP.Network,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Services,NTP,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,SDN/Cloud,CISCO,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,SDN/Cloud,Juniper,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,SDN/Cloud,VMWare.NSX,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,SDN/Cloud,OpenStack,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,SDN/Cloud,Microsoft,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,HTML,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,CSS,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,JavaScript,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,XML,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,Rest API,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,Python,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,advanced,basic,intermediate,advanced,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,PHP,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,Nette,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Development,Java,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Database,MS SQL,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,advanced,expert,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Database,Elastic Search,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Database,MySQL,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,advanced,basic,intermediate,advanced,expert,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Platform,TNM,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,advanced,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Platform,Service Now,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,basic,intermediate,intermediate,advanced,expert
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,NNMi,not applicable,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,HPNA,not applicable,not applicable,not applicable,not applicable,basic,basic,intermediate,advanced,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,TNM,not applicable,basic,intermediate,intermediate,advanced,intermediate,advanced,advanced,basic,basic,basic,basic,basic
UNIX,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,Algosec,not applicable,basic,intermediate,intermediate,advanced,intermediate,advanced,expert,basic,basic,basic,basic,basic
UNIX,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,IPAM,not applicable,basic,intermediate,intermediate,advanced,intermediate,advanced,advanced,basic,basic,basic,basic,basic
UNIX,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,Clear Pass,not applicable,not applicable,basic,intermediate,intermediate,intermediate,intermediate,advanced,not applicable,not applicable,not applicable,not applicable,not applicable
UNIX,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,CISCO Prime,not applicable,not applicable,basic,intermediate,intermediate,intermediate,intermediate,advanced,not applicable,not applicable,not applicable,not applicable,not applicable
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,UCSD,not applicable,basic,basic,intermediate,intermediate,intermediate,advanced,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,NSO,not applicable,basic,basic,intermediate,intermediate,intermediate,advanced,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,DNS,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,Connectivity ,Connectivity ,Network Technical Specialist ,Tools,DHCP,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic
,DC OOps On-Shore,DC Ops On-Shore,Data Centers Technical Specialist,Open Storage On-Site ,Netapp ; Hitachi ; EMC ; Cisco ,not applicable,not applicable,not applicable,not applicable,not applicable,Planing/perform/participate on upgrade/maintenance   Understanding and implementation of name services: NIS ; LDAP ; DNS Setup and implement netapp monitoring Usage of netapp tools : Latx ;  Interoperability Matrix Tool ; Syslog translator ; Active IQ able to perform basic troubleshooting  and collect logs from Netapp ; brocade ; atto bridge  Understanding and usage of perfstat & packet trace Administration of Snapcreator,not applicable,not applicable,,,,,
,DC OOps On-Shore,DC Ops On-Shore,Data Centers Technical Specialist,DC Facility Specialists ,DC Facility Specialists ,not applicable,not applicable,electricians; advanced - can work independently etc. ,,not applicable,not applicable,not applicable,not applicable,,,,,
,DC OOps On-Shore,DC Ops On-Shore,Technical Specialist X.86 physical hw,DC Facility Specialists ,HP ; Dell X.86 physical hw,not applicable,not applicable,not applicable,Independently reponsible of all X.86 related physical work in DCs,not applicable,not applicable,not applicable,not applicable,,,,,
,App & Midleware,EDM,Specialist ERP archiving,Opentext ,SAP Data archiving,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
,App & Midleware,EDM,Specialist ERP archiving,Opentext ,Doculink customization,Basic knowledge ; ability to solve issue based on KB,TS1 + deeper understanding of the application technology and customers' environment.,TS2 + advanced understanding of the application technology ; integrations and customer's business,TS3 + advanced understanding of the application technology ; integrations and customer's business. Ability to design and implement environments ; perform upgrades and other possible changes. ,TS4 + Deep knowledge of one or several areas of expertise. Can suggest new solutions and improve existing systems. Backup of Architect. ,TS5 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL,SA1 + Excellent verbal and written skills ; including the ability to communicate effectively and work with others in a team environment.  Excellent analytical skills and the ability to troubleshoot and resolve software problems  Ability to make decisions and manage your time effectively to a delivery plan/schedule  Ability to work independently ; but also be part of a team Intermediate level of ITIL Participates in modeling and documenting  technical platform architecture in a specific service area. Participates in planning of implementation details. ,SA2 +  Designs technical platform architecture in a specific service area. Verifies the co-operation of technical architecture components and processes.  Provides pre-sales support. ,SA3 +  Participates in evaluation and investigation of service area specific technical platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organize and leads the work of technical architecture team in international projects. Provides pre-sales support. ,SA4 + Responsible for evaluation and investigation of service area specific technical  platform products including tools ; hardware and  software related to the service. Audits service area specific architecture. May organizes and leads the work of one or more technical architecture team(s) in international projects.  May be responsible for guidelines and strategies within a specified area. Provides pre-sales support. ,,,
